lon,lat,xp,yp,Product,Yld Vol(Dry)(bu/ac),Count,Year,G,R,NIR,SIR1,SIR2,TIR1,TIR2,NDVI,NDWI2,NDWI1
-,-,-,-,['SOYBEANS'],4242.519999999999,75,2016,8548,7071,22989,12323,8196,27289,24982,0.5295409181636727,0.45790658591495703,0.4743626743626744
-,-,-,-,['SOYBEANS'],827.3199999999999,13,2016,8048,8024,12290,12399,9330,27599,25332,0.21000295362803978,0.20857508112892123,0.13691026827012026
-,-,-,-,['CORN'],18254.909999999996,102,2016,7803,7883,10136,12807,10020,27605,25247,0.12503468560963427,0.1300518423546463,0.005755110140900972
-,-,-,-,['CORN'],19816.26,109,2016,8714,7253,21737,12316,8264,27421,25068,0.4996205588133839,0.4276706840497849,0.44908503049898335
-,-,-,-,['CORN'],5442.78,33,2016,8560,8876,13870,14549,10983,28990,26177,0.2195550866086345,0.23673651359786002,0.1161630386673641
-,-,-,-,['SOYBEANS'],7071.330000000004,99,2016,8500,7009,23626,12430,8259,27295,24921,0.542418802023829,0.470833592728631,0.4819507605457112
-,-,-,-,['SOYBEANS'],4715.550000000001,75,2016,7932,7858,12241,12523,9371,27159,24856,0.21807055077367032,0.21360233976106677,0.13279659448454562
-,-,-,-,['CORN'],22021.38000000001,105,2016,8298,7014,21860,12324,8259,27501,25111,0.5141649927270209,0.4496982558525101,0.45157541751054153
-,-,-,-,['CORN'],28351.54,114,2016,8067,8023,12063,13193,9867,27340,25040,0.2011351189883501,0.1985096870342772,0.10013679890560875
-,-,-,-,['SOYBEANS'],4179.410000000001,63,2016,8624,7380,23091,12718,8541,27965,25478,0.515605001476814,0.45615639287403437,0.4599772382397572
-,-,-,-,['CORN'],22215.90999999999,100,2016,7988,8174,10846,13087,10083,27555,25182,0.14048370136698213,0.15174684081979398,0.0364565913326007
-,-,-,-,['CORN'],16865.410000000003,91,2016,8068,8425,10873,13582,10590,27348,25038,0.12685252357757282,0.14809144184573148,0.01318548199226576
-,-,-,-,['CORN'],18180.92,76,2016,8417,7443,18983,12377,8423,27203,24914,0.43669113751608263,0.3856204379562044,0.38531708385025176
-,-,-,-,['CORN'],18661.08,86,2016,8441,7205,20389,12046,8267,27516,25161,0.4777850257302312,0.41442941380506415,0.4230178671133445
-,-,-,-,['CORN'],18428.370000000003,84,2016,7972,8149,10551,13180,10397,27619,25144,0.12844919786096257,0.13923230578200074,0.007351537139583731
-,-,-,-,['CORN'],25437.810000000005,111,2016,7868,8019,10334,13090,10217,27433,25027,0.12613741622623004,0.1354796176244369,0.005693153617828816
-,-,-,-,['CORN'],21476.69,94,2016,7993,8184,10707,13291,10434,27520,25108,0.13355566142607592,0.1451336898395722,0.012913296438200652
-,-,-,-,['CORN'],21592.239999999994,93,2016,7895,8095,10285,13054,10210,27293,24939,0.1191512513601741,0.13146314631463146,0.003659429129055867
-,-,-,-,['CORN'],22680.220000000012,105,2016,8517,7755,18092,12989,9227,28024,25523,0.399930359422757,0.35984065541734,0.3244994326293056
-,-,-,-,['SOYBEANS'],2856.6800000000007,69,2016,7886,7798,11537,12593,9452,27372,25058,0.19337988104473752,0.18797302167533336,0.09933774834437085
-,-,-,-,['CORN'],16514.469999999998,73,2016,8306,7026,22179,12594,8364,27966,25403,0.5188495120698511,0.4550762670165655,0.45231313230527453
-,-,-,-,['CORN'],11666.440000000004,68,2016,8139,6823,24028,12584,8213,27140,24920,0.5576804641664775,0.4939534305343986,0.49052448745386307
-,-,-,-,['CORN'],19999.780000000002,87,2016,7867,8061,10335,13153,10292,27408,25020,0.12361382909328114,0.1355894956598176,0.0020846463373248654
-,-,-,-,['CORN'],28970.91,119,2016,8067,7786,13568,13160,9644,27344,25072,0.27076894258686895,0.2542639241969032,0.16905049112528003
-,-,-,-,['CORN'],15238.210000000003,59,2016,8082,8118,11565,12382,9547,27181,24919,0.1751257430269776,0.17727897388914338,0.0955854490337249
-,-,-,-,['CORN'],17883.530000000002,83,2016,8519,7278,20208,12223,8356,27598,25184,0.47042130539183585,0.4068994325895499,0.4149278812491248
-,-,-,-,['CORN'],16029.36,74,2016,7825,7827,10889,12364,9414,27141,24801,0.16360333404573627,0.16372769049909158,0.07264936216322711
-,-,-,-,['CORN'],16561.35,88,2016,8361,7906,14180,12703,9617,27644,25325,0.28407135742099066,0.2581518122532275,0.19174685884775391
-,-,-,-,['SOYBEANS'],4380.159999999999,79,2016,8719,7269,22317,12204,8279,27264,24920,0.5086189413911986,0.4381363577780642,0.4588181461628971
-,-,-,-,['CORN'],18538.48,83,2016,8485,7240,20362,12044,8253,27572,25145,0.47540033330918047,0.41172392276493225,0.4231696662589551
-,-,-,-,['CORN'],21826.52999999999,97,2016,9184,8920,17435,13421,9757,27518,25234,0.3230885979889964,0.3099665652353582,0.28236245954692557
-,-,-,-,['CORN'],16875.820000000007,94,2016,8129,6824,23863,12356,8133,27263,24989,0.555251409391599,0.4918104526131533,0.49162395299412426
-,-,-,-,['CORN'],21120.320000000003,102,2016,8359,7165,19940,12216,8353,27593,25209,0.47131525548791736,0.40923707551503585,0.40953592761460433
-,-,-,-,['CORN'],16707.870000000003,79,2016,7990,8133,10719,12867,9938,27328,24986,0.13717377466581795,0.14586562616922336,0.03780800697100257
-,-,-,-,['CORN'],20640.43999999999,92,2016,8761,8111,17536,12692,8857,27388,25131,0.36748937497563067,0.33368825341293684,0.328837191679612
-,-,-,-,['SOYBEANS'],5181.02,87,2016,8308,8136,13280,12475,9503,27463,25160,0.2401942472917445,0.2303131369279229,0.16578150375279813
-,-,-,-,['SOYBEANS'],6012.339999999998,97,2016,8032,7985,11941,12112,9216,27337,25061,0.19853457793837198,0.19571421418915536,0.12879897906130358
-,-,-,-,['SOYBEANS'],5630.75,97,2016,8658,8027,17889,12934,9273,27375,25023,0.3805371199259145,0.3477229065431122,0.31720786392754585
-,-,-,-,['SOYBEANS'],5311.369999999999,82,2016,8555,7534,21461,13255,9237,27499,25149,0.4803241938265218,0.42997068230277186,0.39820183725324126
-,-,-,-,['CORN'],17486.64999999999,97,2016,8366,7903,14270,12757,9512,27615,25254,0.287151039552609,0.2608234670436473,0.2000672777731057
-,-,-,-,['SOYBEANS'],6189.150000000001,101,2016,8492,7050,23448,12430,8299,27113,24808,0.5376746016132206,0.46825297432686286,0.4771789460421457
-,-,-,-,['SOYBEANS'],2423.52,41,2016,8719,7204,23002,12439,8317,27353,25076,0.5230086737734225,0.45026953753034266,0.4688847025767106
-,-,-,-,['CORN'],21851.789999999997,94,2016,8075,8280,11172,13420,10470,27474,25080,0.148673658235657,0.16090819348469892,0.032436928195176046
-,-,-,-,['CORN'],26872.90000000001,113,2016,8022,8215,10907,13228,10246,27375,25109,0.1407802531115992,0.15241164350995826,0.031248522668179454
-,-,-,-,['CORN'],20080.389999999992,92,2016,8084,7695,14648,12734,9158,27128,24787,0.31119366244461355,0.28875593876473693,0.23061413089137192
-,-,-,-,['CORN'],21309.87,97,2016,8528,8608,12239,13412,10628,27612,25179,0.17417374202523145,0.1786969711561612,0.07045086806314776
-,-,-,-,['CORN'],18629.659999999996,87,2016,8047,8256,11114,13336,10267,27513,25184,0.14754775425916367,0.16006471478524084,0.03961461110331603
-,-,-,-,['CORN'],16005.869999999997,74,2016,7857,7987,10416,13045,10074,27517,25101,0.13198934956257133,0.14004268593006075,0.016691068814055635
-,-,-,-,['CORN'],16257.959999999994,105,2016,7940,8106,10457,12886,10108,27364,25016,0.12664978721111889,0.1368157851823667,0.016970581084366644
-,-,-,-,['CORN'],14279.180000000002,82,2016,8108,8492,10909,13661,10654,27363,25027,0.1245812071542704,0.14728926749750224,0.011825812734777164
-,-,-,-,['SOYBEANS'],5670.060000000001,85,2016,8258,7794,16574,13276,9589,27177,24906,0.3603086014445174,0.33489046391752575,0.26698008638153115
-,-,-,-,['CORN'],11308.449999999997,52,2016,7971,7969,11165,12194,9496,27318,24883,0.16703250757813318,0.16691053511705686,0.08078021392962587
-,-,-,-,['CORN'],21316.719999999998,95,2016,7952,8122,10339,13013,10325,27603,25170,0.12009100265424408,0.13050133945656334,0.0006775067750677507
-,-,-,-,['SOYBEANS'],3483.99,59,2016,8674,7487,22188,13164,8823,27917,25421,0.49540016849199664,0.4378847773961506,0.43097610525297475
-,-,-,-,['SOYBEANS'],5647.200000000001,85,2016,8552,7039,23191,12392,8233,27261,24924,0.5343036718491565,0.46117254197775887,0.476005600814664
-,-,-,-,['CORN'],1301.6200000000001,6,2016,7912,8116,10437,12822,10059,27287,24926,0.12510106182288577,0.13760967900158047,0.018442622950819672
-,-,-,-,['CORN'],17583.460000000006,86,2016,7907,8082,10306,12950,10132,27312,25019,0.12094844463780727,0.13171910174051502,0.008513553185243175
-,-,-,-,['CORN'],20886.319999999996,92,2016,7969,8115,10757,13183,10311,27578,25146,0.13999576091564223,0.14888390473138952,0.021169546231251186
-,-,-,-,['SOYBEANS'],4057.460000000001,72,2016,14318,14753,18223,16396,13353,27789,25401,0.10522804463852499,0.12000245843704864,0.15423106156574615
-,-,-,-,['CORN'],27418.379999999983,117,2016,8118,8137,11958,12412,9492,27154,24897,0.19014680268723563,0.19127316198445907,0.11496503496503496
-,-,-,-,['CORN'],17418.809999999998,81,2016,8529,8885,13781,14579,11005,28702,26036,0.21600635312803318,0.2354101299865531,0.11199870894860002
-,-,-,-,"['SOYBEANS', 'CORN']",8372.849000000002,91,2016,7999,8120,10940,13303,10408,27357,25058,0.14795383001049317,0.1552880299910238,0.024920367247517332
-,-,-,-,['CORN'],21593.86999999999,111,2016,8472,7179,21293,12456,8400,28011,25436,0.4957150885080079,0.43074080295649253,0.434210083184589
-,-,-,-,['SOYBEANS'],5505.079999999999,99,2016,8345,8041,14861,13264,9724,27336,24974,0.297790585975024,0.28078945100405067,0.20894854586129755
-,-,-,-,['CORN'],18897.620000000003,89,2016,7861,8005,10232,12904,10096,27310,24950,0.12211438284805615,0.13104515558503288,0.006690279417552145
-,-,-,-,['CORN'],15851.33,85,2016,8667,7228,21849,12498,8326,27407,25086,0.5028372940812326,0.43197011403853713,0.448152444076222
-,-,-,-,['CORN'],24424.550000000014,100,2016,7991,8033,11451,12975,9933,27311,25017,0.17542599055635394,0.17796522991461783,0.07098765432098765
-,-,-,-,['SOYBEANS'],4073.981999999999,81,2016,8101,8132,11785,12383,9477,27220,24940,0.18341115629863936,0.1852559589661068,0.10855046561941492
-,-,-,-,['SOYBEANS'],2977.3599999999997,49,2016,7902,7935,11140,12708,9707,27251,24969,0.16802096985583223,0.17004516332318034,0.0687389072768264
-,-,-,-,['CORN'],17681.02,90,2016,8887,7460,21205,12124,8229,27485,25109,0.4795046223617652,0.4093446763259338,0.4408507168580553
-,-,-,-,['CORN'],21270.770000000008,88,2016,8610,7678,20399,12581,8954,27669,25334,0.4530754710261068,0.40639111999724226,0.38990903825844037
-,-,-,-,['CORN'],18857.229999999996,84,2016,8539,7269,20467,12068,8267,27597,25144,0.4758436688779925,0.41122526373853685,0.42458411637781024
-,-,-,-,['CORN'],24242.600000000013,157,2016,8193,6871,23607,12612,8248,27318,24996,0.5491173961546033,0.48471698113207545,0.4821535080835034
-,-,-,-,['SOYBEANS'],3824.0899999999992,66,2016,7879,7929,10715,12730,9775,27301,25003,0.149431452478009,0.15252231902764332,0.04587603709126403
-,-,-,-,['CORN'],17751.14999999999,81,2016,8400,7136,21472,12333,8289,27613,25226,0.5011185682326622,0.4376004284949116,0.442962266052888
-,-,-,-,['CORN'],21800.450000000008,101,2016,8565,7644,20149,12548,8898,27644,25222,0.4499334364768107,0.40342689977014695,0.3873377629359314
-,-,-,-,['CORN'],28176.56,114,2016,7977,7875,11561,11999,9191,27275,24862,0.1896480757357481,0.18343740403316613,0.11420585967617579
-,-,-,-,['SOYBEANS'],4097.17,78,2016,8511,8356,12635,12182,9622,27558,25193,0.20384926873421944,0.19502506384186136,0.13537314103428136
-,-,-,-,['SOYBEANS'],4916.819999999999,125,2016,8524,7535,21352,13178,9145,27390,25090,0.47831204347976597,0.4293747489623778,0.4002688789061219
-,-,-,-,['SOYBEANS'],5715.712,95,2016,8068,7972,12377,12266,9196,27510,25255,0.21647255393385426,0.2107605771582294,0.14745283456172067
-,-,-,-,['CORN'],23234.099999999995,120,2016,8142,6835,24112,12583,8222,27187,24924,0.5582770543186739,0.4951323866807218,0.4914331663264675
-,-,-,-,['SOYBEANS'],5764.619999999999,86,2016,8544,7062,23300,12398,8227,27201,24890,0.5348132534088663,0.46338399698530336,0.4780981381038475
-,-,-,-,['SOYBEANS'],1988.1539999999993,43,2016,7903,7899,11095,12763,9706,27268,24979,0.16826366220911868,0.16801768607221812,0.06677563578674102
-,-,-,-,['SOYBEANS'],4164.499999999999,72,2016,10080,10205,15980,15732,12308,27731,25349,0.22054611418751194,0.2264006139677667,0.12980769230769232
-,-,-,-,['CORN'],24005.600000000002,110,2016,8452,8532,11903,13372,10539,27578,25155,0.1649620748715439,0.1695406534021125,0.060778896711523034
-,-,-,-,['SOYBEANS'],1409.94,27,2016,8507,7519,18911,12413,8750,27342,25070,0.4310253499810821,0.37945874972645705,0.36734029861537904
-,-,-,-,['CORN'],24629.00000000001,109,2016,7945,8161,10408,13128,10244,27389,25069,0.12100813183262427,0.13420149294393288,0.007941119504164245
-,-,-,-,['CORN'],14994.650000000001,79,2016,8076,8412,10847,13577,10569,27356,25030,0.12643439430915415,0.14643555461607569,0.012980948823309675
